* DEMO HOTELS
* The original data was loaded from the application "Sample Hotel Search" on the day 2013-08-11
* using a resource type of: http://api.hotelsbase.org/search.php?longitude=14.421138&latitude=50.087533
*
* License (http://api.hotelsbase.org/documentation.php):
* Each page that uses hotelsbase data must link to hotelsbase.org, in any many you choose.
* Hotelsbase (http://www.hotelbase.org/) is licensed under a Creative Commons Attribution-ShareAlike 3.0 Unported License.
* Creative Commons License

NAME;NOTE;CITY;STREET;PHONE;STARS;HOME_PAGE;PRICE;ACTIVE
Beijing Jade International Youth Hostel;a Hotel in Beijing,China.;-1;5 Zhidebeixiang Beiheyan Street Beijing;;3;http://www.jadeinternationalyouthhostel.com/;10;true
Peony Hotel Beijing;a Hotel in Beijing,China.;-1;No.31 Huayuan Road(E) Haidian District;;3;http://www.cheapbeijinghotels.net/hotels.aspx;12;true
Henghui Hotel;a Hotel in Beijing,China.;-1;No.2 Guanganmen Outer South Street Xicheng District;;2;http://en.henghuidg.cn/;12;true
Jun An Hotel;a Hotel in Beijing,China.;-1;No. 134 Fahuasi Street Chongwen District;+353 (0)74 93 6890;4;http://hotels.lonelyplanet.com/china/beijing-r1973684/;21;true
Xinghaiqi Holiday Hotel;a Hotel in Beijing,China.;-1;No.89-3 Dianmen East Street Dongcheng District;;4;http://www.holidayhotelbeijing.com/;21;true
Atravis Express Hotel (Beijing Dongsi);a Hotel in Beijing,China.;-1;No.25 Yueya Alley Liutiao Dongsi Dongcheng District;;3;http://www.cheapbeijinghotels.net/hotels.aspx;19;true
Golden Inn Xizhimen Beijing;a Hotel in Beijing,China.;-1;58 Wenhuiyuan Road Haidian District;;3;http://www.cheapbeijinghotels.net/hotels.aspx;19;true
Homekey Hotel;a Hotel in Beijing,China.;-1;No.15 Yuer Hutong Dongcheng District;;3;http://www.homekeyhotel.com/;19;true
Piao Home Inn Beijing Qianmen;a Hotel in Beijing,China.;-1;No.17 Hanjia Hutong;010-65265757;2;http://piaohome.com/;15;true
Yi Fa Hotel;a Hotel in Beijing,China.;-1;56 Waixie Road;;3;http://www.fab-hotels.com/allHostels.html;20;true
Purple Courtyard;a Hotel in Beijing,China.;-1;No.24 ShajingHutong NanLuoGuXiang Dongcheng district;;4.5;http://www.purplehippoartstudio.com/;28;true
Babylon Fashion Hotel;a Hotel in Beijing,China.;-1;No.3 Tonghui Temple Haidian Middle Street South Exit Haidian District;;4;http://www.dreaming-of-hotelbabylon.jp/;26;true
Beijing Hutong Culture Inn;a Hostel in Beijing,China.;-1;17 Beixiawazi Hutong Bei Luoguxiang Dongcheng District;800-2682918 (;3;http://www.mybeijingchina.com/beijing-attractions/beijing-hutong/hutong-culture.htm;21;true
Heping Street Hotel Beijing;a Hotel in Beijing,China.;-1;Building 4 Hepingli 13 Chaoyang District;;3;http://www.goldenpalacesilverstreethotel.cn/;21;true
Qinglian Furun Hotel Beijing Qianmen;a Hotel in Beijing,China.;-1;No.104 Yangmeizhu Xiejie Xuanwu District;;3;http://www.beijing-hotel.cn/Dongcheng-hotels/Beijing-Qinglian-Furun-hotel-Dongsi-Branch.html;21;true
Botai Hotel;a Hotel in Beijing,China.;-1;No 140 Jiaodaokou South Street Dongcheng District;(010)64079911;3;http://www.botaihotelbeijing.cn/;22;true
Golden Inn (Beijing Jingsong);a Hotel in Beijing,China.;-1;No.9 Ertiao Guanghe Nanli Chaoyang District;;2;http://www.cheapbeijinghotels.net/hotels.aspx;17;true
Saga International Youth Hostel Beijing;a Hostel in Beijing,China.;-1;No.9 Shijia Hutong Chaoyang Men Nei Nan Xiao Jie Dongcheng District;(+86) 133-8140-073;2;http://www.bikebeijing.com/hostel/Saga_International.htm;17;true
Beijing Tang House Fuxue Hutong;a Hotel in Beijing,China.;-1;A1 of Fuxue Hutong North of Dongsibei Street Back Lakes (Hou Hai);;3;http://meetingbeijing.com/;23;true
Super 8 (Beijing Chang Ping Xi Guan);a Hotel in Beijing,China.;-1;26 XiHuan Road;1-800-454-3213 (1;3;http://www.super8.com/hotels/china/beijing/super-8-hotel-beijing-chang-ping-xi-guan/hotel-overview;23;true
Sakura Hotel Ikebukuro Tokyo;a Hotel in Tokyo,Japan.;-10;2-40-7 Ikebukuro Toshima-ku;+81-3-3971-2237;3;http://www.sakura-hotel-ikebukuro.com/;36;true
Asakusa Ryokan Toukaiso;a Hostel in Tokyo,Japan.;-10;2-16-12 Nishi-Asakusa Taito-ku;111-0035;2;http://www.toukaisou.com/index-e.htm;30;true
Asakusa Vista Hotel Tokyo;a Hotel in Tokyo,Japan.;-10;2-2-9 Kotobuki Taito-ku;;3;http://www.tokyoessentials.com/asakusa.html;42;true
